source_sheet,source_column,variable_id,label,category,frequency,unit,seasonal_adjustment,transformation,source_workflow_confirmation,recommended_transformation,rationale,risk_flags,model_owner_decision_status,public_display_allowed,public_display_guidance,missing_value_rule,model_role,transformation_status
Request Quarterly,B,gdp,"Uzbekistan, Gross Domestic Product, Total, Constant Prices, volume 2021, UZS",Target variable,quarterly,Currency Units ,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Quarterly GDP level -> log quarter-on-quarter growth for model input; postprocess predicted QoQ path into GDP levels and YoY percent.,"GDP is the quarterly target level, so log QoQ growth is economically meaningful for the state-space model; published YoY growth should come only from the GDP post-processing step.",target_postprocess; seasonality,approved_with_caveat,false,No as a top high-frequency contribution: GDP is the target row and should be excluded from indicator-contribution diagnostics.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",target_quarterly_gdp,approved_with_caveat
Request Monthly,B,ip_uzs,"Industrial Production, Total, Total Industrial Output, UZS",Production,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,C,ip_cppy,"Industrial Production, Total, Total Industrial Output, CPPY=100, Index",Production,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Treat as an already year-on-year index: use log(index / 100) or index minus 100 as the growth signal; do not log-difference the index again.,"CPPY=100 means the observation already compares output with the corresponding period of the previous year. Differencing its log measures acceleration of the YoY rate, not industrial-output growth.",index; already_growth_series; seasonality,approved_with_caveat,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved_with_caveat
Request Monthly,D,imp,"Foreign Trade, By Country, Import, World, Aggregate, USD",Trade,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,E,exp,"Foreign Trade, By Country, Export, World, Aggregate, USD",Trade,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,F,imp_agg,"Foreign Trade, Export, Goods & Services, Total, Aggregate, USD",Trade,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,G,exp_agg,"Foreign Trade, Import, Goods & Services, Total, Aggregate, USD",Trade,monthly,Currency Units,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,H,ent_new,"Enterprises, Number of Enterprises, Newly Established Enterprises, Aggregate",Business Statistics,monthly,Number,By code,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,I,cpi_services,"Consumer Price Index, Services, Total, PP=100, Index",Prices,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use log-difference of the positive PP=100 price index to measure monthly services inflation.,A CPI index is a price level. Log-differencing a positive price index produces an inflation-rate signal suitable for a stationary DFM input.,index,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,J,cpi_goods,"Consumer Price Index, Goods, Total, PP=100, Index",Prices,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use log-difference of the positive PP=100 price index to measure monthly goods inflation.,A CPI index is a price level. Log-differencing a positive price index produces an inflation-rate signal suitable for a stationary DFM input.,index,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,K,ppi,"Producer Price Index, Total, PP=100, Index",Prices,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use log-difference of the positive PP=100 producer-price index to measure monthly producer-price inflation.,A producer-price index is a price level. Log-differencing a positive price index yields a producer inflation signal.,index,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,L,m0,"Monetary Statistics, Monetary Aggregates, M0, Currency in Circulation (M0), Beginning of Period, UZS","Money, Banking & Credit",monthly,Currency Units,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,M,m2,"Monetary Statistics, Monetary Aggregates, M2, Broad Money (M2), Beginning of Period, UZS","Money, Banking & Credit",monthly,Currency Units,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Use optional X-13 seasonal adjustment where flagged, then log-difference the positive level/count/currency series over non-missing observations.","This row is a native level, count, or currency series, so log growth is a standard stationary activity signal for the DFM.",,approved,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,approved
Request Monthly,N,financial_sound,"Financial Soundness Indicators, Banking Sector, Nonperforming Loans to Total Gross Loans","Money, Banking & Credit",monthly,Percent,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the NPL ratio in levels or first differences in percentage points; do not log-difference a percent ratio without model-owner sign-off.,"The nonperforming-loan share is a financial ratio, not a quantity level. A log change of the ratio is hard to explain economically and can overstate movements when the ratio is low.",ratio; rate,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
Request Monthly,O,rate_1y,"Uzbekistan, Deposits & Loans, All Institutions, Interest Rates on Deposits, By Currency, In Local Currency, Total, Over 1 Year, Weighted Average Rate",Interest & Exchange Rates,monthly,Percent,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,Use the interest-rate level or the month-to-month change in percentage points; do not log-difference the percent rate.,"Interest rates are already measured in percent per year. Monetary tightening is normally interpreted as a level or percentage-point change, not as the growth rate of the rate itself.",rate; unit_mismatch,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
Request Monthly,P,uzs_usd,"FX Spot Rates, Central Bank of The Republic of Uzbekistan, UZS per USD",Interest & Exchange Rates,weekly,Currency Unit/USD,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"First choose a monthly aggregation rule for the weekly FX series, then use log monthly depreciation/appreciation of UZS per USD.","The exchange-rate level can be transformed with log changes, but the workbook frequency is weekly while the DFM panel is monthly. The monthly aggregation convention changes the timing of FX news.",weekly_frequency; unit_mismatch,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
Request Monthly,Q,kazakh_leadind,"Kazakhstan, Leading Indicators, Bureau of National Statistics of the Agency for Strategic Planning & Reforms, Short-Term Economic Indicator, Change YTD PY=100, Index",Foreign Variables,monthly,Index,None,"Source R workflow: optional X-13 seasonal adjustment when flagged, then log-difference over non-missing observations; first three rows are dropped so the estimation sample starts at settings.R start_date.",Confirmed in main.R -> prepare_data.R -> calculate_growth.R: the current source workflow applies the same log-difference rule to every variable after optional X-13 seasonal adjustment.,"Treat as a YTD-over-previous-year index, likely log(index / 100) or index minus 100; confirm whether a YTD accumulation should enter a monthly DFM.","The source is a change YTD PY=100 index, so it is already a cumulative growth comparison. Log-differencing it mixes monthly revisions with changes in the YTD comparison window.",index; already_growth_series; seasonality; label_ambiguity,blocked_needs_owner_decision,true,Yes for internal preview: contribution is a standardized common-factor signal and must not be read as a GDP percentage-point effect.,"Missing observations are retained as NA in the ragged-edge panel. Growth is computed only across non-missing observations, then written back to the original positions; leading/ending all-NA rows are removed before EM estimation and the Kalman filter smooths remaining gaps.",high_frequency_indicator,blocked_needs_owner_decision
